commonname,scientificname,areaname,LME,MSE / OMP built?,MSE built citation,MSE operational in management?,Operational in management citation
Atlantic herring,Clupea harengus,North Sea,22,Yes,"http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2019/Special_Requests/eu-norway.2019.06.pdf and references therein, in particular ICES 2019.",Not sure,NA
Australia sardine,Sardinops sagax,East,41,Yes,"Giannini et al. 2010, FRDC Project 2008",Not sure,
Australian northern prawn,"Mixed; includes Penaeus spp., Metapenaeus spp., and Fenneropenaeus spp.",Northern Australia,39,Yes,Dichmont et al. 2006,Yes,
Blue mackerel,Scomber australasicus,East,41,Yes,"Giannini et al. 2010, FRDC Project 2008",Not sure,
Blue mackerel,Scomber australasicus,West,44,Yes,"Giannini et al. 2010, FRDC Project 2008",Not sure,
Blue whiting,Micromesistius poutassou,North Sea - stock key whb.27.1-91214,22,Yes,ICES 2016 (http://ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2016/WKBWMS/WKBWMS%20report%202016.pdf),Yes,
Brazilian sardine,Sardinella brasiliensis,Brazilian SE Bay,16,unknown,NA,Not sure,
Herring,Clupea harengus,Celtic Sea herring - stock key her.27.irls,24,No,ICES 2018 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/HAWG/01%20HAWG%20Report%202018.pdf),No,
Jack mackerel,Trachurus declivis,East,41,Yes,"Giannini et al. 2010, FRDC Project 2011",Not sure,
Jack mackerel,Trachurus declivis,West,44,Yes,"Giannini et al. 2010, FRDC Project 2012",Not sure,
Northern anchovy,Engraulis mordax,Central subpopulation,3,unknown,NA,Not sure,
Norway pout,Trisopterus esmarkii,North Sea,22,Yes,ICES 2018 http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKNPOUT/WKNPOUT%20Report%202018.pdf,Yes,
Pacific hake,Merluccius productus,California current,3,Yes,,Not sure,
Patagonian sprat,Sprattus fuegensis,Patagonia,13,No,NA,No,
Redbait,Emmelichthys nitidus,East,41,Yes,"Giannini et al. 2010, FRDC Project 2013",Not sure,
Redbait,Emmelichthys nitidus,West,44,Yes,"Giannini et al. 2010, FRDC Project 2014",Not sure,
Small pelagic fishery (includes spps higlighted in green below),"Mixed; includes redbait Emmelichthys nitidus, blue mackerel Scomber australasicus, jack mackerel Tachurus declivis, Trachurus murphyi, Australian sardine sardinops sagax",Multiple stocks; Australian Fishing Zone (AFZ): south coast of Australia and Tasmania,41,Yes,Smith et al. 2015,Not sure,
Southern horse mackerel,Trachurus trachurus,Atlanto-Iberian - stock key hom27.9a,25,Yes,ICES 2018 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/AD%20HOC/Ad_Hoc_Report_hom27_9a_2018.pdf),Yes,
